Node1,Node2
O95777,P08579
P00505,Q16878
P07900,Q02790
Q96DP5,Q9HBH1
P43686,P62333
P01178,P30559
O00472,Q03111
P14210,Q9HCT0
Q8NFH4,Q9Y3C0
P20749,Q01201
Q05469,Q13976
Q9H4K1,Q9UIF3
P63208,Q96IG2
P62899,P62917
Q03701,Q9NQZ2
O76024,Q8N5K1
Q15459,Q9BWJ5
Q02543,Q5T8A7
O14662,Q12981
P56192,Q99707
P01579,P09919
O43353,Q9Y6K9
P09016,P20719
P36578,P41091
P07197,Q16539
P20807,Q13326
O75865,Q8WVT3
Q92665,Q96EL3
P03372,Q92793
Q12933,Q96EP0
O15198,Q15796
P46779,P57772
P42677,Q00987
P35250,P43246
O75084,Q9Y6F9
Q92878,Q99728
P62805,Q12824
P06241,P09619
P83876,Q8NAV1
O75832,P54578
P08708,Q13601
O14986,P15153
O15061,P18206
P16234,Q9NP95
P00505,P53396
P21589,Q9H773
Q3KRA9,Q9BT30
P32248,P78423
P61224,Q9ULI3
Q15061,Q9NQT4
P36954,Q15544
Q7Z2W9,Q9NZL4
P05181,P78329
P19174,P49441
P09601,P48507
P23443,Q9BPZ7
P40305,Q15646
P12956,Q99728
P82932,Q99798
P09237,P14543
P62330,Q15027
P09601,P16435
Q06323,Q9UL46
P05198,P18621
O00585,O00590
Q9NRR4,Q9UKV8
A8K4G0,O43914
P30520,Q8TCD5
A8MTJ3,Q9NYW6
O75146,Q9H201
Q13309,Q9UMW8
O95628,P42285
P0CG48,P25789
Q02543,Q96A35
P01579,Q14627
O43353,P14625
Q6ZNE5,Q9BV40
P25788,P40306
P84022,Q15796
P62913,Q9BYC8
P84103,Q13148
O14958,P68106
O75182,Q5PSV4
P01730,Q9BQ51
P13591,Q92187
P09661,Q9UMS4
P84243,Q93079
P11509,P11712
P60468,P62277
P12830,P38570
Q6RFH5,Q9UHA3
P30405,Q9UQ90
P36959,Q9NPB1
Q71U36,Q99832
P21399,P48200
Q7Z4L5,Q96RY7
P23443,Q86X55
O75880,P00403
Q01959,Q16623
O14791,P02656
Q8WUM0,Q96EE3
P35557,Q9BRR6
P22087,Q99848
P15260,P60568
P02649,P02656
P84243,Q8N257
P82933,Q9NZE8
P36543,Q06055
P25787,Q15008
P60468,P62851
Q14674,Q9H4B4
P25789,Q06323
O15111,Q15796
P28340,Q9NRG0
Q96BP3,Q9NW82
P27037,P58166
P09619,P10767
P16144,Q16363
O14503,Q14995
Q8WUH2,Q9P253
P61619,P62241
O95396,P25325
Q14116,Q9ULZ3
O43752,Q8N1B4
P62318,Q8WWY3
P17676,P17947
O60504,Q9Y490
O14672,P05067
P13500,P35225
Q14515,Q99972
P05112,P29965
P62805,Q16695
Q9H0A0,Q9UKD2
Q9UK45,Q9Y4Z0
Q5T653,Q9H9J2
O60869,P62280
O75390,P09622
P53803,Q9NW08
Q969S9,Q9BYC8
O15105,P46937
P01579,P18627
P04035,Q03426
O43678,Q02221
Q96QD9,Q9BY77
P49356,Q9Y256
Q8NGR2,Q8NGR5
Q9BYC8,Q9NUL7
Q96LZ7,Q96TC7
P02452,P02458
P01584,P02741
Q15428,Q9Y3C6
Q04721,Q9NYJ7
P61254,Q9GZL7
Q15075,Q8NEB9
P30511,Q8N423
Q14690,Q9GZL7
P25786,Q53H80
P46778,P57772
Q13829,Q86V97
P46527,Q00535
O60869,P62979
P51532,Q13263
P04798,P56937
P04233,P62847
O60563,Q13889
Q8N1G1,Q9Y3B8
P08575,P28907
P61086,P62837
P56915,Q9UIF3
A6NGB9,O43639
Q9NW08,Q9Y535
Q6UN15,Q9BWT3
O75821,P61247
Q9HAW4,Q9Y248
Q8TDD1,Q9NQZ2
P42356,Q99755
O00268,O75461
Q68CP9,Q92922
O15371,O60739
P11021,P19525
